code_snippet,target
pickle.loads(cmd_binary),1
password = 'admin_144',1
app.config['SECRET_KEY'] = 'secret_key_123',1
for i in range(14): print(f'Step {i}'),0
query = 'SELECT * FROM users WHERE id = ' + data,1
db.execute(f'UPDATE users SET pass = {raw_path} WHERE id = {uid}'),1
os.system('chmod 777 ' + cmd),1
password = 'admin_828',1
"db.execute('UPDATE accounts SET name = ? WHERE id = ?', [cmd, uid])",0
def raw_path_handler(data): return data.strip(),0
for i in range(42): print(f'Step {i}'),0
"subprocess.Popen('ls ' + cmd, shell=True)",1
os.popen('cat ' + data).read(),1
AWS_SECRET = 'super-secret-token',1
password = 'admin_686',1
results = User.query.filter_by(username=temp_val).all(),0
def user_input_handler(data): return data.strip(),0
for i in range(32): print(f'Step {i}'),0
db.execute(f'UPDATE users SET pass = {temp_val} WHERE id = {id}'),1
os.system('chmod 777 ' + payload),1
"yaml.load(raw_path, Loader=yaml.Loader)",1
password = 'admin_460',1
for i in range(45): print(f'Step {i}'),0
"query = ""SELECT email FROM members WHERE level = '"" + cmd + ""'""",1
password = 'admin_813',1
for i in range(19): print(f'Step {i}'),0
cursor.execute('SELECT * FROM accounts WHERE name = %s' % payload),1
db.execute(f'UPDATE users SET pass = {user_input} WHERE id = {id}'),1
os.system(f'echo {cmd} >> log.txt'),1
password = 'admin_165',1
"db.execute('UPDATE accounts SET name = ? WHERE id = ?', [cmd, id])",0
for i in range(17): print(f'Step {i}'),0
password = 'admin_644',1
"db.execute('UPDATE accounts SET name = ? WHERE id = ?', [raw_path, uid])",0
db.execute(f'UPDATE users SET pass = {user_input} WHERE id = {pk}'),1
"subprocess.Popen('ls ' + raw_path, shell=True)",1
password = 'admin_598',1
password = 'admin_696',1
def payload_handler(data): return data.strip(),0
for i in range(27): print(f'Step {i}'),0
db.execute(f'UPDATE users SET pass = {user_input} WHERE id = {uid}'),1
password = 'admin_826',1
db.execute(f'UPDATE users SET pass = {username} WHERE id = {uid}'),1
password = 'admin_518',1
"db.execute('UPDATE accounts SET name = ? WHERE id = ?', [user_input, uid])",0
os.system('chmod 777 ' + username),1
password = 'admin_127',1
for i in range(30): print(f'Step {i}'),0
password = 'admin_464',1
os.system('ping ' + username),1
os.system(f'echo {temp_val} >> log.txt'),1
password = 'admin_335',1
"db.execute('UPDATE accounts SET name = ? WHERE id = ?', [data, uid])",0
for i in range(37): print(f'Step {i}'),0
password = 'admin_588',1
for i in range(47): print(f'Step {i}'),0
password = 'admin_892',1
for i in range(8): print(f'Step {i}'),0
password = 'admin_277',1
cursor.execute('SELECT * FROM accounts WHERE name = %s' % user_input),1
password = 'admin_105',1
for i in range(50): print(f'Step {i}'),0
password = 'admin_522',1
password = 'admin_507',1
for i in range(7): print(f'Step {i}'),0
eval(request.args.get('user_input')),1
password = 'admin_595',1
password = 'admin_219',1
password = 'admin_443',1
for i in range(5): print(f'Step {i}'),0
db.execute(f'UPDATE users SET pass = {cmd} WHERE id = {pk}'),1
password = 'admin_750',1
